"id","date","yday","species","plotGroup","locality","Status","Description Where Found","Notes","Building_side","paired"
33,2021-05-09,129,"Eastern Red","Eastern Red","Downtown KC","Alive","On sidewalk <1 ft from wall","Overnight storm, T in 50s, 12 grams","E","N"
34,2021-05-15,135,"Evening","Evening","Downtown KC","Dead","On sidewalk against wall",NA,"E","N"
35,2021-09-22,265,"Evening","Evening","1200 Main","Alive","On sidewalk","52F, uninjured","E","N"
36,2021-10-05,278,"Evening","Evening","Downtown KC","Alive","On ground against wall","Overnight T 52F","W","N"
37,2021-10-11,284,"Evening","Evening","Downtown KC","Alive","On ground against wall","Overnight T in low 50s, hard downpour","W","N"
38,2021-10-24,297,"Big brown","Big brown","Downtown KC","Alive","On sidewalk","Soaked, found during rainstorm","E","N"
39,2021-10-31,304,"Eastern Red","Eastern Red","1200 Main","Dead","On sidewalk ~3ft from wall",NA,"E","N"
40,2021-11-04,308,"Eastern Red","Eastern Red","1151 McGee","Alive","On ground at base of wall","Overnight temps high 30s","W","N"
41,2022-02-09,40,"Big brown","Big brown","2301 Gillham Rd","Alive","On ground at base of wall, close to front door","In same place two days in a row. 15. g, male, no injury","N","N"
42,2022-04-23,113,"Eastern Red","Eastern Red","1101 Main","Alive","On wall 10ft from another red bat","Ambient T 70 F, moved to safety with other bat","W","Y"
43,2022-04-23,113,"Eastern Red","Eastern Red","1101 Main","Alive","On wall <2ft above ground","Moved with other bat to safety","W","Y"
44,2022-04-24,114,"Eastern Red","Eastern Red","Downtown KC","Alive","On sidewalk ~2 in from wall","Flew away after pic was taken","E","N"
45,2022-05-09,129,"Evening","Evening","1100 Main","Alive","In road next to railcar line",NA,"E","N"
46,2022-05-09,129,"Evening","Evening","1100 Main","Alive","On sidewalk- 50 ' FROM CONSPECIFIC",NA,"E","N"
47,2022-05-09,129,"Eastern Red","Eastern Red","1201 Walnut","Alive","On sidewalk against wall",NA,"W","N"
48,2022-05-09,129,"Evening","Evening","1100 Walnut","Alive","On sidewalk ~2ft from wall",NA,"W","N"
49,2022-05-10,130,"Evening","Evening","1100 Walnut","Alive","On ground <1ft from pillar",NA,"E","N"
50,2022-05-17,137,"Tricolored","Others","1000 Walnut","Dead","On ground ~2 ft from wall",NA,"N","N"
51,2022-05-29,149,"Eastern Red","Eastern Red","Downtown KC","Alive","On ground ~1ft from wall",NA,"E","N"
52,2022-05-29,149,"Eastern Red","Eastern Red","Downtown KC","Alive","On ground",NA,"E","N"
53,2022-05-31,151,"Vespertilionidae","Others","Downtown KC","Dead","On ground?","Soaked from overnight rain",NA,"N"
54,2022-05-31,151,"Eastern Red","Eastern Red","1100 Main","Alive","On ground at base of doors","Flew away after photos taken","E","N"
55,2022-10-02,275,"Evening","Evening","1100 Main","Alive","On ground against wall",NA,"E","N"
56,2022-10-06,279,"Big brown","Big brown","2345 Grand","Alive","On ground",NA,"N","N"
57,2022-10-06,279,"Silver-haired","Others","1101 Walnut","Alive","On ground against wall","On broken glass","S","N"
58,2022-10-06,279,"Evening","Evening","1201 Walnut","Alive","On ground in corner",NA,"W","N"
59,2022-10-06,279,"Evening","Evening","1407 Grand","Alive","On ground against staircase",NA,"W","N"
