"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
214439246,"https://www.inaturalist.org/observations/214439246","","Lasiurus borealis","Eastern Red Bat","","lisa777666","45392","CC-BY-NC","Vespertilionidae","USA","North America"
214439889,"https://www.inaturalist.org/observations/214439889","","Lasiurus borealis","Eastern Red Bat","Second Eastern red bat strike in one day","lisa777666","45392","CC-BY-NC","Vespertilionidae","USA","North America"
214440057,"https://www.inaturalist.org/observations/214440057","","Lasiurus borealis","Eastern Red Bat","","lisa777666","45420","CC-BY-NC","Vespertilionidae","USA","North America"
214763499,"https://www.inaturalist.org/observations/214763499","","Lasiurus borealis","Eastern Red Bat","36 S. Charles Streetâ€¦ Southeast corner of the building at Lombard Street","jtmerryman","45422","CC-BY-NC","Vespertilionidae","USA","North America"
216509518,"https://www.inaturalist.org/observations/216509518","","Vespertilionidae","Little Brown Bat","Live rescue. To the left of the Science Center entrance.","jessicalanda","45430","CC-BY-NC","Vespertilionidae","USA","North America"
216886213,"https://www.inaturalist.org/observations/216886213","","Perimyotis subflavus","Tricolored Bat","flew into a window and was dazed on the sidewalk, relocated to a bush","rhacodactylus","45041","CC-BY-NC","Vespertilionidae","USA","North America"
222346609,"https://www.inaturalist.org/observations/222346609","","Lasiurus borealis","Eastern Red Bat","","lisa777666","45427","CC-BY-NC","Vespertilionidae","USA","North America"
225221417,"https://www.inaturalist.org/observations/225221417","","Tadarida brasiliensis","Mexican Free-tailed Bat","Fue encontrado en una oficina y fue trasladado al zoológico de Chapultepec para su rehabilitación, ya que por el golpe con una ventana no podía volar bien ","joaquingarciacampos","2024-06-25","CC-BY-NC","Molossidae","MEX","North America"
225968327,"https://www.inaturalist.org/observations/225968327","","Lasiurus borealis","Eastern Red Bat","Bat. Donâ€™t know what kind but very small. Wren size. Dead, in front of Visit Norfolk, E. Main Street. With no collision.","pescanlon2","45472","CC-BY-NC","Vespertilionidae","USA","North America"
232682209,"https://www.inaturalist.org/observations/232682209","","Eptesicus fuscus","Big Brown Bat","I pulled over because I saw either a Common Nighthawk or Poorwill and was hoping to photo it, but it flew off as soon as I got out of my car. So all I was left with was bats :)

I don't expect to get a confirmation of these due to the lack of detail, but it was fun practicing low light/action shots just the same. And they make for really neat silhouettes :)","jaredmanninen","2024-07-29","CC-BY-NC","Vespertilionidae","USA","North America"
