month_start,n_effort,cell_id
2023-04-01,2490,175
2023-05-01,2218,175
2023-06-01,2070,175
2023-07-01,2193,175
2023-08-01,2040,175
2023-09-01,2431,175
2023-10-01,2962,175
2023-11-01,1963,175
2023-12-01,1474,175
2024-01-01,1582,175
2024-02-01,1037,175
2024-03-01,1480,175
2024-04-01,1695,175
2024-05-01,1556,175
2024-06-01,1641,175
2024-07-01,2388,175
2024-08-01,2472,175
2024-09-01,3121,175
2024-10-01,3205,175
2024-11-01,1982,175
2024-12-01,1802,175
2025-01-01,1291,175
2025-02-01,1359,175
2025-03-01,2075,175
2025-04-01,2962,175
2025-05-01,2208,175
2025-06-01,3158,175
2025-07-01,3090,175
2025-08-01,3030,175
2025-09-01,3374,175
2025-10-01,4039,175
2025-11-01,2565,175
2025-12-01,1713,175
2019-01-01,2422,181
2019-02-01,1476,181
2019-03-01,2202,181
2019-04-01,4209,181
2019-05-01,2347,181
2019-06-01,2044,181
2019-07-01,2511,181
2019-08-01,1951,181
2019-09-01,1675,181
2019-10-01,1750,181
2019-11-01,2433,181
2019-12-01,2770,181
2020-01-01,3022,181
2020-02-01,2236,181
2020-03-01,1905,181
2020-04-01,1505,181
2020-05-01,1363,181
2020-06-01,1174,181
2020-07-01,1427,181
2020-08-01,1661,181
2020-09-01,1690,181
2020-10-01,1744,181
2020-11-01,1884,181
2020-12-01,1913,181
2021-01-01,1647,181
2021-02-01,1983,181
2021-03-01,2526,181
2021-04-01,2160,181
2021-05-01,2743,181
2021-06-01,2793,181
2021-07-01,3170,181
2021-08-01,2533,181
2021-09-01,2133,181
2021-10-01,2584,181
2021-11-01,3013,181
2021-12-01,4685,181
2022-01-01,3113,181
2022-02-01,3175,181
2022-03-01,3217,181
2022-04-01,4165,181
2022-05-01,3676,181
2022-06-01,4322,181
2022-07-01,3801,181
2022-08-01,3075,181
2022-09-01,4182,181
2022-10-01,4443,181
2022-11-01,3728,181
2022-12-01,4206,181
2023-01-01,4000,181
2023-02-01,4069,181
2023-03-01,4769,181
2023-04-01,4457,181
2023-05-01,3529,181
2023-06-01,3528,181
2023-07-01,4230,181
2023-08-01,3201,181
2023-09-01,2741,181
2023-10-01,6885,181
2023-11-01,4753,181
2023-12-01,6443,181
2024-01-01,6084,181
2024-02-01,6975,181
2024-03-01,3867,181
2024-04-01,8810,181
2024-05-01,5229,181
2024-06-01,3019,181
2024-07-01,5838,181
2024-08-01,8468,181
2024-09-01,7644,181
2024-10-01,8728,181
2024-11-01,6053,181
2024-12-01,8433,181
2025-01-01,9540,181
2025-02-01,6896,181
2025-03-01,7544,181
2025-04-01,9690,181
2025-05-01,4950,181
2025-06-01,6274,181
2025-07-01,6887,181
2025-08-01,6397,181
2025-09-01,8101,181
2025-10-01,8871,181
2025-11-01,7255,181
2025-12-01,5965,181
2019-04-01,10,182
2019-05-01,40,182
2019-06-01,11,182
2019-07-01,1,182
2019-08-01,1,182
2019-09-01,0,182
2019-10-01,0,182
2019-11-01,3,182
2019-12-01,62,182
2020-01-01,2,182
2020-02-01,1,182
2020-03-01,33,182
2020-04-01,1,182
2020-05-01,0,182
2020-06-01,1,182
2020-07-01,0,182
2020-08-01,0,182
2020-09-01,0,182
2020-10-01,1,182
2020-11-01,0,182
2020-12-01,0,182
2021-01-01,0,182
2021-02-01,0,182
2021-03-01,1,182
2021-04-01,0,182
2021-05-01,0,182
2021-06-01,0,182
2021-07-01,0,182
2021-08-01,2,182
2021-09-01,0,182
2021-10-01,2,182
2021-11-01,1,182
2021-12-01,0,182
2022-01-01,0,182
2022-02-01,0,182
2022-03-01,1,182
2022-04-01,2,182
2022-05-01,0,182
2022-06-01,2,182
2022-07-01,0,182
2022-08-01,7,182
2022-09-01,1,182
2022-10-01,149,182
2022-11-01,1,182
2022-12-01,2,182
2023-01-01,1,182
2023-02-01,3,182
2023-03-01,0,182
2023-04-01,0,182
2023-05-01,0,182
2023-06-01,9,182
2023-07-01,0,182
2023-08-01,25,182
2023-09-01,3,182
2023-10-01,79,182
2023-11-01,2,182
2023-12-01,1,182
2024-01-01,1,182
2024-02-01,1,182
2024-03-01,0,182
2024-04-01,0,182
2024-05-01,0,182
2024-06-01,2,182
2024-07-01,23,182
2024-08-01,67,182
2024-09-01,1,182
2024-10-01,105,182
2024-11-01,0,182
2024-12-01,1,182
2025-01-01,2,182
2025-02-01,3,182
2025-03-01,3,182
2025-04-01,5,182
2025-05-01,0,182
2025-06-01,0,182
2025-07-01,4,182
2025-08-01,11,182
2025-09-01,1,182
2025-10-01,57,182
2025-11-01,1,182
2025-12-01,3,182
2019-01-01,1424,283
2019-02-01,2188,283
2019-03-01,3356,283
2019-04-01,7309,283
2019-05-01,4006,283
